Specimen 4,Specimen 4,Specimen 4,Specimen 4
Test time,Standard force,Strain,Grip to grip separation
s,N,mm,mm
0,24.64710236,0,38.03021063
0.1,24.57689667,0,38.03021063
0.2,24.34398651,0,38.03021883
0.3,25.03435516,0,38.03021883
0.399999999,24.91985321,0,38.03021063
0.5,24.56047821,0,38.03021883
0.6,24.50078583,0,38.03039109
0.7,25.01970673,0,38.0307027
0.75,26.05974579,0,38.03093254
0.85,26.75134659,-0.00015,38.03148996
0.899999999,28.14294815,-1.18613E-09,38.03185092
0.939999999,29.3109169,0,38.03216278
0.98,30.65954971,0,38.03249084
1.01,31.75720596,0,38.03276168
1.04,33.05994034,0,38.03304063
1.07,34.39001846,0.00015,38.03334438
1.1,35.78650284,0.000299999,38.03365575
1.13,36.92517471,0.00045,38.03397571
1.16,38.37048721,0.00045,38.03431236
1.18,39.39587784,0.000599999,38.0345503
1.21,40.79040909,0.00075,38.03491937
1.24,42.08728409,0.00075,38.03529607
1.26,43.12244034,0.000899999,38.03556692
1.28,44.14978409,0.001049727,38.03584634
1.3,45.26892471,0.00105,38.03612482
1.32,46.54626846,0.001199727,38.03641187
1.34,48.03064346,0.001349726,38.03670751
1.36,49.66345596,0.00135,38.03700315
1.38,51.48376846,0.001499727,38.03730642
1.399999999,53.22204971,0.001649998,38.03761827
1.42,55.08142471,0.00165,38.03793775
1.439999999,56.78845596,0.001799727,38.0382496
1.46,58.42517471,0.001949998,38.03858625
1.48,59.96033096,0.00195,38.03891431
1.5,61.92517471,0.00195,38.03924238
1.52,63.71033096,0.002099999,38.03958665
1.54,65.47595978,0.002249727,38.0399233
1.56,67.17908478,0.002399726,38.04025995
1.58,68.99158478,0.0024,38.04058801
1.6,70.48767853,0.002549999,38.04092371
1.62,72.15564728,0.002699727,38.04125272
1.64,73.97986603,0.002849726,38.04158079
1.66,75.63611603,0.00285,38.04189169
1.68,77.27674103,0.00285,38.04222833
1.7,78.84705353,0.002999999,38.04256498
1.72,80.60877228,0.003,38.04290163
1.74,82.15564728,0.003149999,38.0432459
1.76,83.97595978,0.0033,38.04358255
1.78,85.63220978,0.0033,38.04391061
1.8,87.26502228,0.003449999,38.04424631
1.82,88.67127228,0.003749453,38.04458295
1.84,90.12830353,0.00375,38.0449196
1.86,91.45252228,0.003899727,38.04523908
1.88,92.89783478,0.0039,38.04558336
1.899999999,94.45252228,0.0039,38.04590379
1.92,96.14002228,0.004199454,38.04624807
1.939999999,97.78845978,0.0042,38.04657613
1.96,99.58142853,0.0042,38.04691278
1.98,101.5931473,0.004499454,38.04724943
1.99,102.6400223,0.004499997,38.04741346
2.01,104.6751785,0.0045,38.04774152
2.03,106.6087723,0.004649727,38.04807817
2.04,107.6243973,0.004649999,38.04824983
2.05,108.6868973,0.00465,38.04841386
2.07,110.5150223,0.004799727,38.04874193
2.09,112.2064285,0.004949726,38.04906999
2.11,114.1634598,0.00495,38.04939805
2.13,116.182991,0.005099727,38.04972707
2.149999999,117.807991,0.005249726,38.05005514
2.17,119.8040848,0.00525,38.05039083
2.18,120.8822098,0.00525,38.05055486
2.189999999,121.9056473,0.005399727,38.05072748
2.21,123.7220535,0.0054,38.05108034
2.23,125.229866,0.005549727,38.05141698
2.25,127.0970535,0.00555,38.05175268
2.27,128.8861084,0.005699999,38.05208074
2.29,130.4095459,0.0057,38.05241739
2.31,132.0384521,0.005849999,38.05275403
2.33,133.8704834,0.005999727,38.05308973
2.35,135.6087646,0.006,38.05342638
2.37,136.9798584,0.006149999,38.05375444
2.39,138.5462646,0.006299727,38.0540825
2.41,140.0072021,0.0063,38.05441057
2.43,141.6907959,0.006449727,38.05474721
2.45,143.2337646,0.006599726,38.05508386
2.46,144.2572021,0.006599999,38.05524789
2.48,146.1712646,0.0066,38.05559217
2.5,148.0892334,0.006749999,38.05592023
2.52,149.9603271,0.006899999,38.0562483
2.54,151.8978271,0.0069,38.05657636
2.55,152.9212646,0.007049727,38.05674039
2.57,154.7806396,0.007199726,38.05706083
2.59,156.7493896,0.0072,38.05739747
2.61,158.6243896,0.007349727,38.05774175
2.63,160.5736084,0.007499726,38.05808603
2.64,161.6439209,0.007499999,38.05825006
2.66,163.5032959,0.0075,38.05858671
2.67,164.6126709,0.007649727,38.05875932
2.68,165.6361084,0.007649999,38.05893098
2.7,167.4212646,0.007799999,38.05926763
2.71,168.4837646,0.0078,38.05942308
2.72,169.5618896,0.0078,38.05958711
2.74,171.2572021,0.007949999,38.05993234
2.76,173.0618896,0.00795,38.06026041
2.78,174.8431396,0.008099999,38.06058847
2.79,175.8978271,0.0081,38.06074392
2.81,177.6126709,0.008249999,38.06108915
2.83,179.1243896,0.008399727,38.06142484
2.85,180.8548584,0.0084,38.06176149
2.87,182.4837646,0.008549999,38.06208955
2.89,184.0970459,0.008699727,38.06243383
2.91,185.8509521,0.008849998,38.06278669
2.92,186.9290771,0.00885,38.06295072
2.939999999,188.6517334,0.00885,38.06327116
2.96,190.3157959,0.008999727,38.06359922
2.98,192.0775146,0.009,38.06392728
3,193.5931396,0.009149998,38.06426393
3.02,195.2493896,0.009299999,38.06458341
3.04,196.8978271,0.009449998,38.06491147
3.06,198.8157959,0.00945,38.06523954
3.08,200.5306396,0.009599999,38.06558382
3.09,201.5306396,0.0096,38.06575643
3.1,202.7259521,0.009749727,38.06592046
3.11,203.8197021,0.009749999,38.06610071
3.13,205.7025146,0.009899727,38.06643735
3.14,206.7337646,0.009899999,38.06660139
3.16,208.7884521,0.010049727,38.06693803
3.17,209.9603271,0.010049999,38.06710969
3.189999999,211.8743896,0.010199727,38.06743871
3.21,213.6907959,0.0102,38.06777441
3.23,215.5618896,0.010349999,38.06811105
3.25,217.4251709,0.010499727,38.06843053
3.27,219.0892334,0.0105,38.06876718
3.29,220.8431396,0.010649999,38.06910383
3.31,222.6126709,0.010799999,38.0694481
3.32,223.6439209,0.010949726,38.06961214
3.34,225.3353271,0.01095,38.06994878
3.36,226.9720459,0.011099727,38.07028543
3.38,228.7650146,0.011249726,38.07062112
3.399999999,230.7337646,0.011399726,38.07094919
3.42,232.3861084,0.0114,38.07127725
3.44,234.2047577,0.01155,38.07159804
3.46,236.1735077,0.011699727,38.0719261
3.47,237.1735077,0.011699999,38.07209014
3.49,238.7360077,0.0117,38.07242583
3.51,240.5914764,0.011849998,38.07275389
3.53,242.2985077,0.011999727,38.07309912
3.55,243.9586639,0.012149998,38.0734434
3.57,245.3414764,0.01215,38.07378768
3.59,247.1188202,0.012299999,38.07412432
3.61,248.6891327,0.012449999,38.0744438
3.63,250.5758514,0.012599727,38.07478903
3.64,251.7321014,0.012749454,38.07495307
3.649999999,252.7867889,0.012749998,38.0751171
3.66,253.9352264,0.01275,38.07527255
3.67,255.0367889,0.012899727,38.07543658
3.68,256.1383667,0.012899999,38.07560061
3.689999999,257.2086792,0.0129,38.07577323
3.7,258.3961792,0.013049727,38.07593726
3.71,259.4352417,0.013049999,38.07609271
3.72,260.5758667,0.013199726,38.07626532
3.74,262.3805542,0.013349727,38.0766096
3.76,264.2047729,0.013499726,38.07693766
3.77,265.2203979,0.013499999,38.07711028
3.79,267.1657104,0.0135,38.07744692
3.8,268.1813354,0.013649727,38.07761096
3.82,269.9313354,0.013799726,38.0779476
3.84,271.9743042,0.013949727,38.07826708
3.85,273.0368042,0.013949999,38.07843112
3.86,274.0914917,0.014099726,38.07860373
3.88,275.8297729,0.014249726,38.07893179
3.899999999,277.4508667,0.01425,38.07925128
3.92,279.2399292,0.014399999,38.07959651
3.939999999,280.9352417,0.014549999,38.07992457
3.96,282.6071167,0.014699998,38.08025263
3.98,284.2985229,0.014849727,38.08059691
3.99,285.2985229,0.014849999,38.08075236
4.01,287.0641479,0.015149453,38.08109759
4.03,288.9860229,0.01515,38.08143328
4.05,290.7164917,0.015299727,38.0817623
4.07,292.5485229,0.015449998,38.08210658
4.09,294.4078979,0.015599727,38.08244322
4.11,296.2789917,0.015749726,38.0827627
4.13,298.0993042,0.015899727,38.08309077
4.149999999,299.8727417,0.016049726,38.08342742
4.17,301.6188354,0.016199727,38.08376311
4.189999999,303.5289917,0.016499454,38.08409213
4.21,305.5797729,0.0165,38.0844364
4.22,306.7203979,0.0165,38.08460902
4.23,307.8532104,0.016799454,38.08478068
4.24,308.9078979,0.016799998,38.08494471
4.25,310.0485229,0.016799999,38.08510874
4.26,311.2360229,0.016799999,38.08528136
4.27,312.3063354,0.016949726,38.08545397
4.29,314.3961792,0.017099725,38.08578204
4.31,316.3532104,0.017249996,38.0861101
4.33,318.2868042,0.017399726,38.08643817
4.35,320.1383667,0.017549997,38.08677386
4.37,322.0953979,0.017699998,38.08709429
4.38,323.1735229,0.017849725,38.08725833
4.39,324.2047729,0.017849999,38.08742236
4.41,326.0094604,0.018149452,38.08776663
4.43,327.4899292,0.01815,38.0880947
4.45,329.3649292,0.018449454,38.08843134
4.47,331.1266479,0.018599724,38.08877562
4.49,332.6930542,0.018749999,38.08910369
4.51,334.3375854,0.018899728,38.08944033
4.53,336.2321167,0.019049998,38.0897684
4.55,337.5758667,0.019199999,38.09009646
4.57,338.9782104,0.01935,38.09042452
4.59,340.4860229,0.019649997,38.09076117
4.61,342.0055542,0.019799726,38.09108161
4.63,343.4078979,0.019949997,38.09142588
4.649999999,345.1305542,0.020249451,38.09177016
4.67,346.6618042,0.02025,38.09209822
4.689999999,348.0953979,0.020549454,38.09244345
4.71,349.8219604,0.020699725,38.09277152
4.73,351.4977417,0.020849725,38.09309958
4.75,353.1305542,0.021149179,38.09342765
4.77,355.0602417,0.02115,38.0937643
4.78,356.1227417,0.021449454,38.09393596
4.8,357.5172729,0.021599725,38.09423923
4.82,359.0328979,0.021749726,38.09456824
4.84,360.6383667,0.021899726,38.09490394
4.86,362.4078979,0.02219918,38.095232
4.88,363.7985229,0.022349726,38.09558486
4.899999999,365.3571167,0.022499727,38.09592151
4.92,366.7907104,0.022799181,38.09624957
4.939999999,368.1422729,0.022949727,38.09659385
4.96,369.5485229,0.023099726,38.09693049
4.98,370.8844604,0.02339918,38.09724997
5,372.3571167,0.023399999,38.09758662
5.02,373.7594604,0.023699453,38.09791469
5.04,375.0914917,0.023999861,38.09825133
5.06,376.2946167,0.024149727,38.0985794
5.08,377.7360229,0.024299998,38.09891604
5.1,379.1930542,0.024449999,38.09925174
5.12,380.5211792,0.02475,38.0995798
5.14,381.7946167,0.025049454,38.09992503
5.16,383.0250854,0.0252,38.10026931
5.18,384.0543823,0.025499454,38.10058879
5.2,385.1520386,0.025649725,38.10091781
5.22,386.1676636,0.025799999,38.10124587
5.25,387.7672729,0.026249724,38.10173797
5.27,388.8922729,0.026549177,38.10206603
5.29,389.9411011,0.026699724,38.10240268
5.31,390.9606323,0.026999453,38.10273837
5.33,392.0895386,0.027149724,38.10307502
5.36,393.4899292,0.027449997,38.10358333
5.39,394.9215698,0.027899178,38.10408401
5.42,396.2340698,0.028199451,38.10458468
5.45,397.6149292,0.028649585,38.10508441
5.48,398.7301636,0.028949453,38.10558509
5.5,399.8082886,0.029099999,38.10590552
5.52,400.8258667,0.029399453,38.10623359
5.54,401.9039917,0.029549999,38.10658645
5.56,403.0817261,0.02999918,38.10692214
5.58,404.1871948,0.030149726,38.10725879
5.61,405.6110229,0.03059986,38.1077671
5.64,406.9313354,0.030899726,38.10824298
5.67,408.2047729,0.03134986,38.10874366
5.7,409.4938354,0.031649999,38.10922812
5.73,410.9157104,0.03209918,38.10972785
5.76,412.1578979,0.032399725,38.11023711
5.79,413.2789917,0.032849994,38.11074542
5.82,414.4586792,0.033149995,38.1112461
5.86,415.8053589,0.033749856,38.11192702
