Specimen 2,Specimen 2,Specimen 2,Specimen 2
Test time,Standard force,Strain,Grip to grip separation
s,N,mm,mm
0,25.07760048,0,37.15597226
0.1,25.4218998,0,37.15597226
0.199999999,24.67946815,0,37.15597226
0.3,24.7458744,0,37.15597226
0.399999999,24.80990028,0,37.15597226
0.5,25.12789345,0,37.15597226
0.6,25.13900185,0,37.15611982
0.699999999,25.67812538,0,37.15645623
0.8,26.39138222,-0.00015,37.15692376
0.89,27.50344276,-0.00015,37.15749788
0.949999999,28.88772011,-2.73132E-07,37.15794896
1,29.93459511,0,37.15839195
1.04,31.13772011,0.00015,37.15876149
1.08,32.36037445,0.000299727,37.15915488
1.109999999,33.74514008,0.0003,37.15948295
1.14,35.0439682,0.000449727,37.15980291
1.17,36.43849945,0.00045,37.16014766
1.199999999,37.59279633,0.000599727,37.16050052
1.23,39.07326508,0.0006,37.16087722
1.25,40.07326508,0.000749999,37.16113185
1.27,41.11818695,0.00075,37.16139411
1.3,42.47170258,0.000899727,37.16182136
1.33,43.86623383,0.001049999,37.16223907
1.35,44.99123383,0.00105,37.16254329
1.37,46.12599945,0.001199999,37.16284656
1.39,47.7470932,0.0012,37.16315841
1.409999999,49.3564682,0.0012,37.16347026
1.43,50.9424057,0.001499454,37.16378974
1.449999999,52.4892807,0.0015,37.16411018
1.47,54.0517807,0.0015,37.16444587
1.489999999,55.68849945,0.001649999,37.1647663
1.51,57.43849945,0.001799727,37.165102
1.529999999,59.19631195,0.0018,37.16543864
1.55,61.1455307,0.001949999,37.16577529
1.56,62.1533432,0.00195,37.16593932
1.58,63.84474945,0.002099999,37.16627597
1.6,65.6924057,0.0021,37.16661166
1.62,67.48537445,0.0021,37.16693973
1.63,68.64162445,0.002399454,37.16710376
1.649999999,70.40724945,0.0024,37.16744041
1.67,72.4111557,0.0024,37.16776084
1.689999999,74.42287445,0.002549727,37.16808891
1.71,76.3799057,0.002699998,37.16841697
1.72,77.4111557,0.0027,37.16858863
1.739999999,79.21193695,0.0027,37.16891669
1.76,81.0517807,0.002999454,37.16925334
1.779999999,82.79787445,0.003,37.16959762
1.8,84.4345932,0.003149727,37.16992664
1.819999999,86.0361557,0.00315,37.17027091
1.84,87.7705307,0.00315,37.17060756
1.859999999,89.3095932,0.003299999,37.17093562
1.88,90.8564682,0.0033,37.17127132
1.899999999,92.5283432,0.003449999,37.17159175
1.92,94.0205307,0.003599727,37.17192744
1.939999999,95.5752182,0.0036,37.17226409
1.96,97.33693695,0.003749727,37.17260074
1.98,99.1924057,0.003899726,37.17293739
2,101.086937,0.0039,37.17326545
2.01,102.1259995,0.0039,37.1734209
2.029999999,104.0517807,0.004049999,37.17376517
2.04,105.0830307,0.00405,37.17394637
2.05,106.1299057,0.00405,37.17411041
2.069999999,108.1924057,0.004199727,37.1744461
2.09,110.165062,0.004349998,37.17477416
2.109999999,112.0439682,0.004499727,37.17511081
2.12,113.0752182,0.004499999,37.17526721
2.13,114.1767807,0.0045,37.17543124
2.149999999,116.071312,0.0045,37.17575931
2.159999999,117.243187,0.004649727,37.17592334
2.18,119.0322495,0.00465,37.1762514
2.199999999,121.1533432,0.004799727,37.17657947
2.21,122.2236557,0.004799999,37.1767435
2.22,123.3330307,0.0048,37.17691611
2.23,124.3486557,0.004949727,37.17708778
2.25,126.2783432,0.00495,37.17742442
2.27,128.2783508,0.005099727,37.1777687
2.279999999,129.5127258,0.005099999,37.17794131
2.3,131.3486633,0.005249999,37.17826938
2.31,132.3564758,0.00525,37.17843341
2.33,134.0361633,0.005399727,37.17876147
2.34,135.0908508,0.005399999,37.17893409
2.359999999,136.8447571,0.0054,37.17927837
2.38,138.5439758,0.005549727,37.17961501
2.399999999,140.1338196,0.005699998,37.17993449
2.42,141.7314758,0.0057,37.18027114
2.439999999,143.3330383,0.0057,37.180624
2.46,144.9931946,0.005999998,37.18095206
2.48,146.8564758,0.006,37.18128871
2.5,148.6221008,0.006,37.18163299
2.51,149.6533508,0.006299454,37.18179702
2.529999999,151.4697571,0.0063,37.18210887
2.55,153.4541321,0.0063,37.18244456
2.569999999,155.4111633,0.0063,37.18277263
2.58,156.4267883,0.0063,37.18293761
2.59,157.6689758,0.0063,37.18309306
2.6,158.8799133,0.006449727,37.1832571
2.609999999,159.9580383,0.006449999,37.18342113
2.62,161.1767883,0.006599726,37.18358516
2.63,162.4658508,0.006599999,37.18375777
2.64,163.5439758,0.0066,37.18392944
2.649999999,164.6377258,0.0066,37.18409347
2.659999999,165.8017883,0.0066,37.18426608
2.67,166.9033508,0.0066,37.1844387
2.689999999,168.8408508,0.006749999,37.18476676
2.71,170.6025696,0.006899999,37.18510341
2.73,172.4033508,0.0069,37.18544769
2.739999999,173.4892883,0.007049727,37.18561172
2.76,175.3916321,0.00705,37.18593978
2.779999999,177.4072571,0.007199727,37.18628406
2.8,179.2197571,0.007349726,37.1866207
2.819999999,181.0478821,0.00735,37.18694877
2.84,182.8056946,0.00735,37.18729305
2.859999999,184.7900696,0.007499727,37.18761348
2.88,186.6846008,0.0075,37.18794917
2.899999999,188.3564758,0.007649999,37.1882944
2.92,190.3369446,0.007799727,37.18862247
2.939999999,191.9971008,0.0078,37.18895911
2.96,193.3760071,0.007949999,37.18929481
2.98,195.0869446,0.00795,37.18963145
3,196.7431946,0.008099727,37.1899681
3.02,198.3838196,0.0081,37.19028758
3.04,200.3017883,0.008249999,37.19062423
3.06,202.3096008,0.00825,37.19093608
3.08,204.1806946,0.008549454,37.19126415
3.09,205.2353821,0.008549998,37.19143581
3.1,206.3525696,0.00855,37.19159984
3.12,208.3447571,0.00855,37.1919279
3.14,210.4150696,0.008699999,37.19227313
3.149999999,211.5556946,0.0087,37.19243716
3.17,213.6572571,0.008849727,37.19278144
3.189999999,215.5674133,0.00885,37.19311809
3.21,217.4658508,0.008999727,37.19346236
3.22,218.5283508,0.008999999,37.1936264
3.23,219.6767883,0.009,37.19379043
3.25,221.7353821,0.009,37.19412708
3.26,222.8291321,0.009299453,37.19429111
3.279999999,224.8252258,0.0093,37.19461917
3.29,225.9814758,0.0093,37.1947832
3.31,227.9228821,0.009449999,37.19511985
3.319999999,228.9385071,0.00945,37.19529151
3.34,230.7510071,0.00945,37.19563674
3.359999999,232.6767883,0.009599727,37.19596481
3.38,234.6064758,0.0096,37.19631767
3.399999999,236.5010071,0.009749999,37.19665336
3.42,238.1650696,0.00975,37.19698142
3.439999999,239.8447571,0.009899999,37.19731044
3.46,241.4346008,0.0099,37.19762992
3.48,243.0088196,0.010049727,37.19795799
3.5,244.8447571,0.01005,37.19827842
3.52,246.7002258,0.010199727,37.1986227
3.54,248.5166321,0.010349725,37.19895076
3.56,250.3760071,0.01035,37.19928741
3.58,252.4306946,0.010649454,37.1996231
3.59,253.4306946,0.010649998,37.19978713
3.6,254.4463196,0.01065,37.19995116
3.62,256.3916321,0.01065,37.20029639
3.63,257.4463196,0.01065,37.20047664
3.64,258.5166321,0.01065,37.20064067
3.649999999,259.5947571,0.01065,37.2008047
3.67,261.6221008,0.010799998,37.20113277
3.689999999,263.5088196,0.0108,37.20146941
3.71,265.6689758,0.010949999,37.20178889
3.72,266.7783508,0.01095,37.20195293
3.73,267.7783508,0.011099727,37.20211696
3.739999999,268.8564758,0.011099999,37.20228957
3.76,270.7431946,0.011249727,37.20262622
3.77,271.7666321,0.011249999,37.20279025
3.79,273.7236633,0.011399727,37.20312595
3.81,275.4502258,0.0114,37.20347118
3.83,277.1728821,0.011549727,37.20380687
3.85,278.9502258,0.01155,37.20414352
3.859999999,280.0674133,0.01155,37.20430755
3.88,281.6806946,0.011699727,37.20463561
3.899999999,283.3877258,0.0117,37.20496368
3.92,285.0635071,0.011849998,37.20530032
3.939999999,286.6728821,0.011999999,37.2056198
3.96,288.2314758,0.012,37.20594882
3.98,290.0088196,0.012,37.20627689
4,291.6767883,0.012149999,37.20661258
4.02,293.3642883,0.0123,37.20694923
4.04,295.2939758,0.0123,37.20728587
4.06,296.7041321,0.012449998,37.20762157
4.08,298.2900696,0.012599727,37.20794963
4.1,300.0713196,0.0126,37.20828628
4.12,301.8252258,0.012749999,37.20863055
4.14,303.3486633,0.01275,37.20895099
4.149999999,304.3642883,0.01275,37.20911502
4.159999999,305.4189758,0.012899727,37.20927905
4.17,306.4267883,0.012899999,37.20944308
4.18,307.4267883,0.013049725,37.2096157
4.189999999,308.4814758,0.013049999,37.20977973
4.199999999,309.6064758,0.01305,37.20994376
4.22,311.5830383,0.01305,37.21028041
4.23,312.6924133,0.013199727,37.21045207
4.239999999,313.9892883,0.013199999,37.21063232
4.25,315.0830383,0.0132,37.21079635
4.26,316.1846008,0.0132,37.21096038
4.27,317.2627258,0.013349727,37.21112537
4.279999999,318.2939758,0.013499454,37.21129703
4.3,320.1064758,0.0135,37.21163367
4.31,321.2080383,0.0135,37.21180629
4.319999999,322.3642883,0.0135,37.21197795
4.33,323.4267883,0.013649727,37.21213435
4.34,324.5127258,0.013649999,37.21229839
4.359999999,326.3564758,0.01365,37.21261787
4.37,327.4033508,0.013799727,37.21279048
4.39,329.1416321,0.0138,37.21312618
4.409999999,330.9502258,0.013949727,37.21345519
4.43,332.5361633,0.01395,37.21378326
4.449999999,334.0517883,0.014249453,37.21412753
4.47,335.5908508,0.01425,37.2144556
4.489999999,337.4424133,0.014399727,37.21479987
4.51,339.1533508,0.0144,37.21512794
4.529999999,340.7197571,0.0144,37.215456
4.55,342.3838196,0.014699453,37.21579265
4.569999999,344.1064758,0.0147,37.21612071
4.59,345.5752258,0.0147,37.21645736
4.609999999,346.9502258,0.014849727,37.21678542
4.63,348.6338196,0.014999726,37.21711349
4.649999999,350.3681946,0.015,37.21745013
4.659999999,351.4306946,0.015,37.2176218
4.68,353.1533508,0.015149998,37.21795081
4.689999999,354.1846008,0.01515,37.21811485
4.699999999,355.2392883,0.01515,37.21827888
4.71,356.2861633,0.015299727,37.21843433
4.73,358.3760071,0.015449726,37.21879577
4.739999999,359.3760071,0.01545,37.2189598
4.76,361.2158508,0.015599727,37.21928786
4.779999999,363.2080383,0.0156,37.21963214
4.8,364.9385071,0.015749726,37.21995162
4.819999999,366.5361633,0.01575,37.22027206
4.84,368.2471008,0.015899999,37.22060012
4.859999999,369.9580383,0.016049728,37.22093677
4.88,371.7666321,0.01605,37.22126483
4.899999999,373.6064758,0.01605,37.22160053
4.92,375.3937378,0.0162,37.22193777
4.93,376.4015503,0.0162,37.22210943
4.949999999,378.0499878,0.016349999,37.22244608
4.97,379.7023315,0.0165,37.22277414
4.989999999,381.1710815,0.016649727,37.22311079
5.01,383.022644,0.016650001,37.22344648
5.029999999,384.3234253,0.016799727,37.22378313
5.05,386.0578003,0.016799999,37.22411119
5.069999999,387.5656128,0.016949726,37.22443163
5.09,389.1671753,0.017099997,37.22475969
5.109999999,390.6046753,0.017100001,37.22508775
5.13,392.413269,0.01725,37.22544061
5.149999999,393.9992065,0.01725,37.22576009
5.17,395.6867065,0.017549453,37.22610437
5.189999999,397.2374878,0.017550001,37.22643339
5.21,398.7335815,0.017699728,37.22677767
5.23,400.225769,0.0177,37.22710573
5.25,401.757019,0.017849999,37.22743379
5.27,403.4484253,0.017999727,37.22776186
5.279999999,404.4718628,0.017999999,37.22792589
5.3,406.350769,0.01815,37.22825395
5.319999999,408.2179565,0.01815,37.2285906
5.34,410.0031128,0.018299999,37.22891866
5.359999999,411.9093628,0.018449727,37.22925531
5.38,413.7648315,0.018599998,37.22959959
5.39,414.8585815,0.0186,37.22977983
5.409999999,416.7218628,0.0186,37.23011648
5.42,417.7218628,0.018749727,37.23028051
5.43,418.9562378,0.018899454,37.23045313
